Title,Artists,Song URL
2000 Miles - 2007 Remaster,Pretenders,https://open.spotify.com/track/5wTM2Bm8phDwHAuOsfBwhU
Christmas Tree Farm,Taylor Swift,https://open.spotify.com/track/2mvabkN1i2gLnGAPUVdwek
Christmas Without You,Ava Max,https://open.spotify.com/track/1QLZKzC2pjP4ySf4ALrNhm
Fairytale of New York (feat. Kirsty MacColl),"The Pogues, Kirsty MacColl",https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
Frosty the Snowman,The Ronettes,https://open.spotify.com/track/0OcpVNf7hnJBPbTFMSG7CI
Happy Xmas (War Is Over),Céline Dion,https://open.spotify.com/track/2ohR9Qj4TgZafZCptO9cly
I Wish It Could Be Christmas Everyday,Wizzard,https://open.spotify.com/track/1mH6tZC6iXIHPI6EixCwxw
Make It To Christmas,Alessia Cara,https://open.spotify.com/track/6RS6rcjnWrdfVuu2U2W2dj
Merry Xmas Everybody,Slade,https://open.spotify.com/track/2unvC2MlubBY3GxXqrRW00
O Holy Night,Mariah Carey,https://open.spotify.com/track/3B7FO3kJ5kv3mX7yiaB7sT
"Santa, Can't You Hear Me","Kelly Clarkson, Ariana Grande",https://open.spotify.com/track/2O3MQ6H3gjrIWDcpeTrikT
Under The Mistletoe - Bonus Track,"Kelly Clarkson, Brett Eldredge",https://open.spotify.com/track/2CYnG4UCBBEKIiux3S0jBU
Winter Wonderland,Darlene Love,https://open.spotify.com/track/51KCex2aoD4Ni2cRF5mFWe
Christmas Kaboom,"eleck, Sarah Rebecca",https://open.spotify.com/track/52CTlUPosFjUvXUAadKOVV
Christmas Time,Bryan Adams,https://open.spotify.com/track/7LoFMtL7hxP9tr5HYyyUrJ
Shake Up Christmas,Train,https://open.spotify.com/track/1NghHeg0wE32eBYrQBVQXL
Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,https://open.spotify.com/track/0SvD6EdetxVtXei2JhkV4B
Seek & Destroy,SZA,https://open.spotify.com/track/6eT2V7nKXyMf47TwPbtgAD
Wild Flower (with youjeen),"RM, Youjeen",https://open.spotify.com/track/1AZjCZSGEjlxUufFQwSszF
Face 2 Face,Juice WRLD,https://open.spotify.com/track/6L4XGeAdRRC32vVJpp8MdM
F2F,SZA,https://open.spotify.com/track/2e2AXpIiJpet5b4qg85Gh6
