Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
Nonsense,Sabrina Carpenter,0.74,0.697,-4.912,0.034,0.027,0.0,0.732,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g,0
lovely (with Khalid),"Billie Eilish, Khalid",0.351,0.296,-10.109,0.033,0.934,0.0,0.12,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",0.647,0.686,-5.745,0.041,0.08,0.0,0.268,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,4
Search & Rescue,Drake,0.817,0.44,-8.482,0.073,0.06,0.0,0.544,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G,3
Bebe Dame,"Fuerza Regida, Grupo Frontera",0.529,0.602,-4.629,0.046,0.299,0.0,0.756,https://open.spotify.com/track/0IKeDy5bT9G0bA7ZixRT4A,0
Rara Vez,"Taiu, Milo j",0.838,0.708,-4.668,0.166,0.176,0.0,0.96,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR,0
Don’t Blame Me,Taylor Swift,0.615,0.534,-6.719,0.039,0.106,0.0,0.193,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE,4
Without Me,Eminem,0.908,0.669,-2.827,0.074,0.003,0.0,0.662,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,0
Riptide,Vance Joy,0.484,0.731,-6.694,0.038,0.431,0.0,0.51,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,4
Bad Habit,Steve Lacy,0.686,0.494,-7.093,0.036,0.613,0.0,0.7,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya",0.556,0.552,-5.875,0.037,0.531,0.0,0.531,https://open.spotify.com/track/5QW9K4A1gMnIi94YUxtsfM,3
CHORRITO PA LAS ANIMAS,Feid,0.743,0.831,-4.042,0.058,0.114,0.0,0.609,https://open.spotify.com/track/0CYTGMBYkwUxrj1MWDLrC5,0
Fast Car,Luke Combs,0.712,0.603,-0.00552,0.026,0.186,0.0,0.67,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,0
SNAP,Rosa Linn,0.565,0.636,-8.198,0.064,0.107,0.0,0.525,https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc,4
Believer,Imagine Dragons,0.776,0.78,-4.374,0.128,0.062,0.0,0.666,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0
Danza Kuduro,"Don Omar, Lucenzo",0.4,0.915,-0.00489,0.28,0.085,0.0,0.878,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,0
Watermelon Sugar,Harry Styles,0.548,0.816,-4.209,0.047,0.122,0.0,0.557,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,4
Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,-12.095,0.053,0.347,0.004,0.535,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,3
Reminder,The Weeknd,0.706,0.505,-6.923,0.193,0.142,0.0,0.388,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,3
Somewhere Only We Know,Keane,0.453,0.655,-0.00422,0.026,0.079,0.0,0.368,https://open.spotify.com/track/0ll8uFnc0nANY35E0Lfxvg,4
Take on Me,a-ha,0.573,0.902,-7.638,0.054,0.018,0.001,0.876,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,0
